cmd_vel_x,cmd_vel_y,cmd_vel_z,cmd_ang_x,cmd_ang_y,cmd_ang_z,orient_x,orient_y,orient_z,orient_w,imu_ang_x,imu_ang_y,imu_ang_z,imu_accel_x,imu_accel_y,imu_accel_z,quaternion_norm,roll,pitch,yaw,imu_ang_magnitude,imu_accel_magnitude,delta_roll,delta_pitch,delta_yaw
0.1,0,0,0,0,0.3,-0.000773265,0.002606664,0.066260627,0.997798645,-0.002097131,-0.003760747,0.300046164,-0.048471015,-0.005177155,9.797597525,1,-1.748028225,-0.151875535,-0.778409924,1.017005964,-0.020605438,0.000183867,-0.001232747,0.085903626
0.1,0,0,0,0,0.3,-0.000772835,0.002595959,0.06700857,0.997748723,-0.001950661,-0.003672326,0.300139972,-0.051348545,0.007510953,9.769522493,1,-1.744539335,-0.170621119,-0.776004199,1.017508412,-0.080414649,0.000194738,-0.001175826,0.085900258
0.1,0,0,0,0,0.3,-0.00077233,0.00258576,0.067756457,0.997698241,-0.001849533,-0.003405654,0.29979609,-0.058267675,0.028479134,9.781157614,1,-1.740856209,-0.188457235,-0.773598537,1.015603946,-0.055448794,0.000205579,-0.001118779,0.085898012
0.1,0,0,0,0,0.3,-0.000771749,0.002576067,0.068504296,0.997647197,-0.001750683,-0.003210675,0.299957068,-0.029162268,0.001662061,9.797583219,1,-1.736979376,-0.205381918,-0.771192905,1.016470729,-0.020801609,0.000216391,-0.001061609,0.085896939
0.1,0,0,0,0,0.3,-0.000771095,0.002566882,0.069252097,0.997595591,-0.002160162,-0.003021794,0.299749271,-0.041832543,-0.008527381,9.792611369,1,-1.73290938,-0.221393269,-0.768787272,1.015336317,-0.031294005,0.000227173,-0.00100432,0.085897008
0.1,0,0,0,0,0.3,-0.00077037,0.002558206,0.069999869,0.997543423,-0.00188355,-0.002980196,0.299771431,-0.052219953,-0.009254701,9.831471203,1,-1.728646771,-0.236489479,-0.766381607,1.015445207,0.05164584,0.000237924,-0.000946917,0.08589812
0.1,0,0,0,0,0.3,-0.000769574,0.002550039,0.070747619,0.997490691,-0.002027885,-0.002557824,0.299894762,-0.059780984,0.008668799,9.798580982,1,-1.724192113,-0.250668832,-0.763975886,1.016104597,-0.018370706,0.000248644,-0.000889407,0.085900114
0.1,0,0,0,0,0.3,-0.000768709,0.002542383,0.071495352,0.997437397,-0.00187218,-0.002665255,0.29955153,-0.029239225,0.043620435,9.802884634,1,-1.719545975,-0.263929714,-0.76157009,1.014223959,-0.009294148,0.000259331,-0.000831795,0.085902789
0.1,0,0,0,0,0.3,-0.000767777,0.002535239,0.072243073,0.997383538,-0.001479701,-0.002277904,0.299569177,-0.033624421,0.018239763,9.805941051,1,-1.714708936,-0.276270614,-0.759164207,1.014291096,-0.002919889,0.000269987,-0.000774089,0.085905916
0.1,0,0,0,0,0.3,-0.000766779,0.002528607,0.072990782,0.997329115,-0.001523091,-0.002204618,0.299974523,-0.038665211,-0.000737628,9.829287459,1,-1.709681583,-0.287690115,-0.75675823,1.016509801,0.046848252,0.000280609,-0.000716294,0.085909257
0.1,0,0,0,0,0.3,-0.000765716,0.002522489,0.073738479,0.997274129,-0.001330811,-0.001927602,0.299614017,-0.04191552,0.008718315,9.798832645,1,-1.704464509,-0.298186898,-0.75435216,1.014519439,-0.018031794,0.000291199,-0.000658416,0.085912578
0.1,0,0,0,0,0.3,-0.000764591,0.002516885,0.074486162,0.997218578,-0.001472674,-0.001800566,0.300145451,-0.023185954,0.005182311,9.828728734,1,-1.699058314,-0.307759739,-0.751946004,1.017430007,0.045556322,0.000301755,-0.000600461,0.085915669
0.1,0,0,0,0,0.3,-0.000763404,0.002511795,0.075233826,0.997162464,-0.00174774,-0.001680857,0.300175155,-0.023483057,0.01806164,9.807099346,1,-1.693463607,-0.316407497,-0.749539772,1.01759701,-0.000514537,0.000312277,-0.000542435,0.085918352
0.1,0,0,0,0,0.3,-0.000762158,0.002507222,0.075981466,0.997105787,-0.001332353,-0.001467044,0.300190615,-0.083137134,0.012847482,9.816249685,1,-1.687681003,-0.324129122,-0.747133481,1.017663889,0.019663223,0.000322765,-0.000484343,0.085920489
0.1,0,0,0,0,0.3,-0.000760853,0.002503165,0.076729076,0.997048547,-0.001467503,-0.000921665,0.299799281,-0.032308844,0.017090303,9.811947581,1,-1.681711128,-0.330923643,-0.744727147,1.015511644,0.009869653,0.000333218,-0.00042619,0.085921989
0.1,0,0,0,0,0.3,-0.000759491,0.002499624,0.077476651,0.996990744,-0.001265523,-0.000613729,0.299617027,-0.030075388,-0.005488778,9.865944825,1,-1.675554616,-0.336790165,-0.742320791,1.014503854,0.124925613,0.000343635,-0.00036798,0.08592281
0.1,0,0,0,0,0.3,-0.000758074,0.002496601,0.078224183,0.99693238,-0.001397857,-0.000898076,0.299858038,-0.051957674,0.010336861,9.816877391,1,-1.669212113,-0.34172787,-0.739914431,1.015831312,0.020537573,0.000354017,-0.00030972,0.085922956
0.1,0,0,0,0,0.3,-0.000756603,0.002494096,0.078971667,0.996873454,-0.001193264,-0.000357474,0.299777478,-0.043803217,0.007076828,9.785847978,1,-1.662684274,-0.345736009,-0.737508083,1.015378941,-0.045694745,0.000364361,-0.000251412,0.085922476
0.1,0,0,0,0,0.3,-0.000755079,0.002492109,0.079719098,0.996813967,-0.001631674,9.66E-05,0.299958589,-0.040258458,0.005687852,9.806162048,1,-1.655971771,-0.3488139,-0.735101765,1.016381344,-0.002428189,0.000374669,-0.000193062,0.085921452
